weapon_name,physical_dmg,magic_dmg,fire_dmg,lightning_dmg,holy_dmg,crit_multiplier,poise_dmg,strength_scaling,dexterity_scaling,intelligence_scaling,faith_scaling,arcane_scaling,physical_def,magic_def,fire_def,lightning_def,holy_def,guard_boost,status_resistance,weight,weapon_type,affinity
Prelate's Inferno Crozier (quality),309,0,0,0,0,100,210,B,B,Z,Z,Z,82.0,49.0,49.0,49.0,49.0,60.5,27.0,23.5,ColossalWeapons,quality
Rotten Greataxe (quality),321,0,0,0,0,100,156,B,B,Z,Z,Z,78.0,47.0,47.0,47.0,47.0,57.2,26.0,20.0,ColossalWeapons,quality
Nagakiba (lightning),191,0,0,191,0,100,90,E,C,Z,Z,Z,46.55,31.35,37.95,41.25,31.35,33.0,15.2,7.0,Katanas,lightning
Uchigatana (lightning),191,0,0,191,0,100,90,E,C,Z,Z,Z,42.75,28.5,34.5,37.5,28.5,30.0,14.25,5.5,Katanas,lightning
Lance (heavy),277,0,0,0,0,100,122,A,Z,Z,Z,Z,57.0,36.0,36.0,36.0,36.0,48.4,21.0,9.0,GreatSpears,heavy
Broadsword (heavy),246,0,0,0,0,100,103,A,Z,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,4.0,StraightSwords,heavy
Cane Sword (heavy),216,0,0,0,0,100,86,B,Z,Z,Z,Z,41.0,27.0,27.0,27.0,27.0,29.7,13.0,2.5,StraightSwords,heavy
Longsword (heavy),246,0,0,0,0,100,90,B,Z,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,3.5,StraightSwords,heavy
Lordsworn's Straight Sword (heavy),258,0,0,0,0,110,90,B,Z,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,3.5,StraightSwords,heavy
Noble's Slender Sword (heavy),225,0,0,0,0,110,80,A,Z,Z,Z,Z,43.0,29.0,29.0,29.0,29.0,33.0,14.0,3.5,StraightSwords,heavy
Short Sword (heavy),227,0,0,0,0,100,90,B,Z,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,30.8,14.0,3.0,StraightSwords,heavy
Warhawk's Talon (heavy),225,0,0,0,0,100,84,B,Z,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,33.0,14.0,3.0,StraightSwords,heavy
Weathered Straight Sword (heavy),230,0,0,0,0,100,90,B,Z,Z,Z,Z,43.0,29.0,29.0,29.0,29.0,29.7,14.0,3.0,StraightSwords,heavy
Celebrant's Rib-Rake (quality),213,0,0,0,0,100,68,B,B,Z,Z,Z,40.0,25.0,25.0,25.0,25.0,36.3,15.0,5.0,Spears,quality
Clayman's Harpoon (quality),194,104,0,0,0,100,80,B,B,D,Z,Z,49.0,38.0,25.0,25.0,25.0,36.3,16.0,5.5,Spears,quality
Cross-Naginata (quality),239,0,0,0,0,100,88,B,B,Z,Z,Z,52.0,32.0,32.0,32.0,32.0,42.9,19.0,8.0,Spears,quality
Iron Spear (quality),223,0,0,0,0,100,80,B,B,Z,Z,Z,42.0,26.0,26.0,26.0,26.0,34.1,15.0,4.5,Spears,quality
Partisan (quality),241,0,0,0,0,100,84,B,B,Z,Z,Z,48.0,30.0,30.0,30.0,30.0,39.6,18.0,6.5,Spears,quality
Pike (quality),225,0,0,0,0,100,82,B,B,Z,Z,Z,53.0,33.0,33.0,33.0,33.0,42.9,19.0,7.5,Spears,quality
Short Spear (quality),219,0,0,0,0,100,80,B,B,Z,Z,Z,40.0,25.0,25.0,25.0,25.0,33.0,15.0,4.0,Spears,quality
Spear (quality),223,0,0,0,0,100,80,B,B,Z,Z,Z,42.0,26.0,26.0,26.0,26.0,34.1,15.0,4.5,Spears,quality
Spiked Spear (quality),235,0,0,0,0,100,80,B,B,Z,Z,Z,46.0,28.0,28.0,28.0,28.0,37.4,17.0,6.0,Spears,quality
Rusted Anchor (magic),284,284,0,0,0,100,164,D,E,C,Z,Z,64.6,45.0,34.2,34.2,41.4,44.0,19.95,12.5,Greataxes,magic
Longhaft Axe (magic),282,282,0,0,0,100,156,E,E,B,Z,Z,64.6,45.0,34.2,34.2,41.4,44.0,19.95,12.5,Greataxes,magic
Greataxe (magic),292,292,0,0,0,100,168,E,E,C,Z,Z,65.55,46.25,35.15,35.15,42.55,45.0,19.95,13.0,Greataxes,magic
Great Omenkiller Cleaver (magic),274,274,0,0,0,100,150,E,E,B,Z,Z,59.85,41.25,31.35,31.35,51.75,42.0,19.0,11.0,Greataxes,magic
Gargoyle's Great Axe (magic),238,238,0,0,0,100,150,D,E,B,Z,Z,55.1,38.75,29.45,29.45,35.65,37.0,17.1,8.5,Greataxes,magic
Executioner's Greataxe (magic),290,290,0,0,0,115,172,E,E,C,Z,Z,70.3,50.0,38.0,38.0,46.0,48.0,21.85,15.0,Greataxes,magic
Crescent Moon Axe (magic),282,282,0,0,0,100,156,E,E,B,Z,Z,64.6,45.0,34.2,34.2,41.4,44.0,19.95,12.5,Greataxes,magic
Butchering Knife (magic),258,258,0,0,0,100,150,E,D,B,Z,Z,55.1,38.75,29.45,29.45,35.65,37.0,17.1,8.5,Greataxes,magic
Celebrant's Rib-Rake (flame),208,0,208,0,0,100,68,E,E,Z,C,Z,38.0,23.75,31.25,28.75,23.75,33.0,14.25,5.0,Spears,flame
Clayman's Harpoon (flame),190,102,190,0,0,100,80,E,E,D,B,Z,46.55,36.1,31.25,28.75,23.75,33.0,15.2,5.5,Spears,flame
Cross-Naginata (flame),234,0,234,0,0,100,88,E,E,Z,B,Z,49.4,30.4,40.0,36.8,30.4,39.0,18.05,8.0,Spears,flame
Iron Spear (flame),218,0,218,0,0,100,80,E,E,Z,C,Z,39.9,24.7,32.5,29.9,24.7,31.0,14.25,4.5,Spears,flame
Partisan (flame),236,0,236,0,0,100,84,E,E,Z,C,Z,45.6,28.5,37.5,34.5,28.5,36.0,17.1,6.5,Spears,flame
Pike (flame),220,0,220,0,0,100,82,E,E,Z,C,Z,50.35,31.35,41.25,37.95,31.35,39.0,18.05,7.5,Spears,flame
Short Spear (flame),214,0,214,0,0,100,80,E,E,Z,C,Z,38.0,23.75,31.25,28.75,23.75,30.0,14.25,4.0,Spears,flame
Spear (flame),218,0,218,0,0,100,80,E,E,Z,C,Z,39.9,24.7,32.5,29.9,24.7,31.0,14.25,4.5,Spears,flame
Spiked Spear (flame),230,0,230,0,0,100,80,E,E,Z,C,Z,43.7,26.6,35.0,32.2,26.6,34.0,16.15,6.0,Spears,flame
Broadsword (lightning),194,0,0,194,0,100,94,E,C,Z,Z,Z,44.65,29.45,35.65,38.75,29.45,31.0,14.25,4.0,StraightSwords,lightning
Cane Sword (lightning),160,0,0,160,0,100,86,E,C,Z,Z,Z,38.95,25.65,31.05,33.75,25.65,27.0,12.35,2.5,StraightSwords,lightning
Longsword (lightning),182,0,0,182,0,100,90,E,C,Z,Z,Z,42.75,28.5,34.5,37.5,28.5,30.0,14.25,3.5,StraightSwords,lightning
Lordsworn's Straight Sword (lightning),191,0,0,191,0,110,90,E,C,Z,Z,Z,42.75,28.5,34.5,37.5,28.5,30.0,14.25,3.5,StraightSwords,lightning
Noble's Slender Sword (lightning),167,0,0,167,0,110,80,E,C,Z,Z,Z,40.85,27.55,33.35,36.25,27.55,30.0,13.3,3.5,StraightSwords,lightning
Short Sword (lightning),168,0,0,168,0,100,90,E,C,Z,Z,Z,39.9,26.6,32.2,35.0,26.6,28.0,13.3,3.0,StraightSwords,lightning
Warhawk's Talon (lightning),167,0,0,167,0,100,84,E,C,Z,Z,Z,39.9,26.6,32.2,35.0,26.6,30.0,13.3,3.0,StraightSwords,lightning
Weathered Straight Sword (lightning),170,0,0,170,0,100,90,E,C,Z,Z,Z,40.85,27.55,33.35,36.25,27.55,27.0,13.3,3.0,StraightSwords,lightning
Bloodhound Claws (sacred),190,0,0,0,190,110,78,E,E,Z,C,Z,36.1,25.3,20.9,20.9,27.5,22.0,10.45,3.0,Claws,sacred
Hookclaws (sacred),178,0,0,0,178,110,72,E,D,Z,C,Z,33.25,23.0,19.0,19.0,25.0,20.0,9.5,2.0,Claws,sacred
Raptor Talons (sacred),164,0,0,0,164,110,68,E,D,Z,C,Z,31.35,21.85,18.05,18.05,23.75,19.0,8.55,1.5,Claws,sacred
Venomous Fang (sacred),186,0,0,0,186,100,78,D,D,Z,C,Z,34.2,24.15,19.95,19.95,26.25,19.0,9.5,2.5,Claws,sacred
Beastman's Cleaver (heavy),301,0,0,0,0,100,180,A,Z,Z,Z,Z,81.0,43.0,43.0,43.0,43.0,57.2,25.0,16.5,CurvedGreatswords,heavy
Dismounter (heavy),310,0,0,0,0,100,122,B,Z,Z,Z,Z,65.0,35.0,35.0,35.0,35.0,46.2,20.0,10.0,CurvedGreatswords,heavy
Monk's Flameblade (heavy),300,0,0,0,0,100,122,B,Z,Z,Z,Z,61.0,33.0,33.0,33.0,33.0,42.9,19.0,9.0,CurvedGreatswords,heavy
Omen Cleaver (heavy),319,0,0,0,0,100,128,B,Z,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,11.5,CurvedGreatswords,heavy
Bloodhound Claws (fire),161,0,161,0,0,110,78,C,E,Z,Z,Z,36.1,20.9,27.5,25.3,20.9,22.0,10.45,3.0,Claws,fire
Hookclaws (fire),151,0,151,0,0,110,72,C,E,Z,Z,Z,33.25,19.0,25.0,23.0,19.0,20.0,9.5,2.0,Claws,fire
Raptor Talons (fire),139,0,139,0,0,110,68,C,E,Z,Z,Z,31.35,18.05,23.75,21.85,18.05,19.0,8.55,1.5,Claws,fire
Venomous Fang (fire),158,0,158,0,0,100,78,C,E,Z,Z,Z,34.2,19.95,26.25,24.15,19.95,19.0,9.5,2.5,Claws,fire
Lordsworn's Greatsword (magic),262,262,0,0,0,110,126,E,E,C,Z,Z,61.75,43.75,33.25,33.25,40.25,42.0,19.0,9.0,Greatswords,magic
Knight's Greatsword (magic),272,272,0,0,0,100,126,E,E,C,Z,Z,64.6,45.0,34.2,34.2,41.4,44.0,19.95,10.0,Greatswords,magic
Iron Greatsword (magic),288,288,0,0,0,100,140,E,E,C,Z,Z,69.35,48.75,37.05,37.05,44.85,47.0,20.9,12.0,Greatswords,magic
Gargoyle's Greatsword (magic),258,258,0,0,0,100,138,D,E,B,Z,Z,67.45,47.5,36.1,36.1,43.7,46.0,20.9,11.5,Greatswords,magic
Forked Greatsword (magic),240,240,0,0,0,100,112,E,E,B,Z,Z,57.95,41.25,31.35,31.35,37.95,39.0,18.05,9.0,Greatswords,magic
Flamberge (magic),250,150,0,0,0,100,118,E,E,B,Z,Z,61.75,43.75,33.25,33.25,40.25,42.0,19.0,10.0,Greatswords,magic
Claymore (magic),266,266,0,0,0,100,126,E,E,C,Z,Z,61.75,43.75,33.25,33.25,40.25,42.0,19.0,9.0,Greatswords,magic
Bastard Sword (magic),266,266,0,0,0,100,126,E,E,C,Z,Z,61.75,43.75,33.25,33.25,40.25,42.0,19.0,9.0,Greatswords,magic
Banished Knight's Greatsword (magic),274,274,0,0,0,100,132,E,E,C,Z,Z,64.6,45.0,34.2,34.2,41.4,44.0,19.95,10.0,Greatswords,magic
Grave Scythe (heavy),324,0,0,0,0,100,120,B,Z,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,36.3,16.0,9.5,Reapers,heavy
Scythe (heavy),282,0,0,0,0,100,110,B,Z,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,7.5,Reapers,heavy
Bloodstained Dagger (flame),154,0,154,0,0,110,60,D,E,Z,B,Z,34.2,19.95,26.25,24.15,19.95,15.0,9.5,2.0,Daggers,flame
Celebrant's Sickle (flame),150,0,150,0,0,100,56,E,D,Z,B,Z,33.25,19.0,25.0,23.0,19.0,15.0,9.5,1.5,Daggers,flame
Dagger (flame),142,0,142,0,0,130,60,E,D,Z,B,Z,33.25,19.0,25.0,23.0,19.0,15.0,9.5,1.5,Daggers,flame
Erdsteel Dagger (flame),128,0,128,0,0,110,60,E,E,Z,B,Z,34.2,19.95,26.25,24.15,19.95,15.0,9.5,2.0,Daggers,flame
Great Knife (flame),144,0,144,0,0,110,60,E,D,Z,B,Z,33.25,19.0,25.0,23.0,19.0,15.0,9.5,1.5,Daggers,flame
Misericorde (flame),176,0,176,0,0,140,56,E,D,Z,D,Z,34.2,19.95,26.25,24.15,19.95,15.0,9.5,2.0,Daggers,flame
Parrying Dagger (flame),144,0,144,0,0,110,60,E,D,Z,B,Z,33.25,19.0,25.0,23.0,19.0,15.0,9.5,1.5,Daggers,flame
Wakizashi (flame),180,0,180,0,0,100,66,E,E,Z,C,Z,39.9,22.8,30.0,27.6,22.8,18.0,11.4,3.0,Daggers,flame
Celebrant's Rib-Rake (blood),223,0,0,0,0,100,68,D,B,Z,Z,D,38.0,23.75,23.75,23.75,23.75,33.0,14.25,5.0,Spears,blood
Clayman's Harpoon (blood),204,109,0,0,0,100,80,C,D,C,Z,D,46.55,36.1,23.75,23.75,23.75,33.0,15.2,5.5,Spears,blood
Cross-Naginata (blood),251,0,0,0,0,100,88,D,B,Z,Z,D,49.4,30.4,30.4,30.4,30.4,39.0,18.05,8.0,Spears,blood
Iron Spear (blood),234,0,0,0,0,100,80,C,D,Z,Z,D,39.9,24.7,24.7,24.7,24.7,31.0,14.25,4.5,Spears,blood
Partisan (blood),253,0,0,0,0,100,84,C,D,Z,Z,D,45.6,28.5,28.5,28.5,28.5,36.0,17.1,6.5,Spears,blood
Pike (blood),236,0,0,0,0,100,82,C,D,Z,Z,D,50.35,31.35,31.35,31.35,31.35,39.0,18.05,7.5,Spears,blood
Short Spear (blood),230,0,0,0,0,100,80,D,C,Z,Z,D,38.0,23.75,23.75,23.75,23.75,30.0,14.25,4.0,Spears,blood
Spear (blood),234,0,0,0,0,100,80,D,B,Z,Z,D,39.9,24.7,24.7,24.7,24.7,31.0,14.25,4.5,Spears,blood
Spiked Spear (blood),247,0,0,0,0,100,80,C,C,Z,Z,D,43.7,26.6,26.6,26.6,26.6,34.0,16.15,6.0,Spears,blood
Nagakiba (cold),198,158,0,0,0,100,90,D,B,C,Z,Z,46.55,37.95,31.35,31.35,31.35,33.0,15.2,7.0,Katanas,cold
Uchigatana (cold),198,158,0,0,0,100,90,C,B,C,Z,Z,42.75,34.5,28.5,28.5,28.5,30.0,14.25,5.5,Katanas,cold
Battle Axe (heavy),286,0,0,0,0,100,112,A,Z,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,4.5,Axes,heavy
Celebrant's Cleaver (heavy),282,0,0,0,0,100,112,B,Z,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,36.3,15.0,4.5,Axes,heavy
Forked Hatchet (heavy),237,0,0,0,0,100,106,B,Z,Z,Z,Z,40.0,27.0,27.0,27.0,27.0,29.7,13.0,2.5,Axes,heavy
Hand Axe (heavy),263,0,0,0,0,100,106,A,Z,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,30.8,14.0,3.5,Axes,heavy
Highland Axe (heavy),286,0,0,0,0,110,112,B,Z,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,4.5,Axes,heavy
Iron Cleaver (heavy),264,0,0,0,0,100,134,S,Z,Z,Z,Z,51.0,34.0,34.0,34.0,34.0,37.4,17.0,6.0,Axes,heavy
Jawbone Axe (heavy),272,0,0,0,0,100,134,A,Z,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,39.6,16.0,5.5,Axes,heavy
Sacrificial Axe (heavy),298,0,0,0,0,100,122,B,Z,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,36.3,16.0,5.5,Axes,heavy
Warped Axe (heavy),264,0,0,0,0,100,140,S,Z,Z,Z,Z,56.0,37.0,37.0,37.0,37.0,47.3,18.0,7.5,Axes,heavy
Bloodstained Dagger (poison),165,0,0,0,0,110,60,B,D,Z,Z,D,34.2,19.95,19.95,19.95,19.95,15.0,10.0,2.0,Daggers,poison
Celebrant's Sickle (poison),161,0,0,0,0,100,56,D,B,Z,Z,D,33.25,19.0,19.0,19.0,19.0,15.0,10.0,1.5,Daggers,poison
Dagger (poison),152,0,0,0,0,130,60,C,B,Z,Z,D,33.25,19.0,19.0,19.0,19.0,15.0,10.0,1.5,Daggers,poison
Erdsteel Dagger (poison),137,0,0,0,0,110,60,D,D,Z,D,D,34.2,19.95,19.95,19.95,19.95,15.0,10.0,2.0,Daggers,poison
Great Knife (poison),154,0,0,0,0,110,60,E,A,Z,Z,D,33.25,19.0,19.0,19.0,19.0,15.0,10.0,1.5,Daggers,poison
Misericorde (poison),189,0,0,0,0,140,56,D,C,Z,Z,D,34.2,19.95,19.95,19.95,19.95,15.0,10.0,2.0,Daggers,poison
Parrying Dagger (poison),154,0,0,0,0,110,60,D,B,Z,Z,D,33.25,19.0,19.0,19.0,19.0,15.0,10.0,1.5,Daggers,poison
Wakizashi (poison),193,0,0,0,0,100,66,C,C,Z,Z,D,39.9,22.8,22.8,22.8,22.8,18.0,12.0,3.0,Daggers,poison
Battle Axe (quality),250,0,0,0,0,100,112,B,B,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,4.5,Axes,quality
Celebrant's Cleaver (quality),246,0,0,0,0,100,112,B,B,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,36.3,15.0,4.5,Axes,quality
Forked Hatchet (quality),207,0,0,0,0,100,106,B,B,Z,Z,Z,40.0,27.0,27.0,27.0,27.0,29.7,13.0,2.5,Axes,quality
Hand Axe (quality),229,0,0,0,0,100,106,B,B,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,30.8,14.0,3.5,Axes,quality
Highland Axe (quality),250,0,0,0,0,110,112,B,B,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,4.5,Axes,quality
Iron Cleaver (quality),246,0,0,0,0,100,122,B,B,Z,Z,Z,51.0,34.0,34.0,34.0,34.0,37.4,17.0,6.0,Axes,quality
Jawbone Axe (quality),254,0,0,0,0,100,122,B,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,39.6,16.0,5.5,Axes,quality
Sacrificial Axe (quality),260,0,0,0,0,100,122,B,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,36.3,16.0,5.5,Axes,quality
Warped Axe (quality),246,0,0,0,0,100,128,B,B,Z,Z,Z,56.0,37.0,37.0,37.0,37.0,47.3,18.0,7.5,Axes,quality
Hoslow's Petal Whip (occult),236,0,0,0,0,100,92,E,D,Z,Z,B,28.0,17.0,17.0,17.0,17.0,18.7,11.0,3.5,Whips,occult
Thorned Whip (occult),218,0,0,0,0,100,84,E,D,Z,Z,B,26.0,15.0,15.0,15.0,15.0,16.5,10.0,2.5,Whips,occult
Urumi (occult),216,0,0,0,0,100,92,E,D,Z,Z,B,27.0,16.0,16.0,16.0,16.0,16.5,11.0,3.0,Whips,occult
Whip (occult),216,0,0,0,0,100,84,E,D,Z,Z,B,25.0,15.0,15.0,15.0,15.0,16.5,10.0,2.0,Whips,occult
Rogier's Rapier (quality),182,0,0,0,0,110,62,B,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,24.2,11.0,3.5,ThrustingSwords,quality
Rapier (quality),188,0,0,0,0,130,60,B,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,22.0,10.0,2.5,ThrustingSwords,quality
Noble's Estoc (quality),202,0,0,0,0,100,60,B,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,24.2,11.0,3.5,ThrustingSwords,quality
Estoc (quality),209,0,0,0,0,100,66,B,B,Z,Z,Z,54.0,36.0,36.0,36.0,36.0,26.4,12.0,4.5,ThrustingSwords,quality
Cleanrot Knight's Sword (quality),213,0,0,0,0,100,66,B,B,Z,Z,Z,51.0,34.0,34.0,34.0,34.0,25.3,11.0,4.0,ThrustingSwords,quality
Antspur Rapier (quality),192,0,0,0,0,100,62,B,B,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,23.1,10.0,3.0,ThrustingSwords,quality
Banished Knight's Halberd (keen),282,0,0,0,0,100,122,E,B,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,keen
Gargoyle's Halberd (keen),293,0,0,0,0,100,152,E,A,Z,Z,Z,66.0,42.0,42.0,42.0,42.0,55.0,18.0,12.0,Halberds,keen
Glaive (keen),296,0,0,0,0,100,128,E,B,Z,Z,Z,60.0,38.0,38.0,38.0,38.0,50.6,16.0,10.0,Halberds,keen
Guardian's Swordspear (keen),312,0,0,0,0,100,128,Z,A,Z,Z,Z,57.0,36.0,36.0,36.0,36.0,48.4,15.0,9.0,Halberds,keen
Halberd (keen),282,0,0,0,0,100,122,E,B,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,keen
Lucerne (keen),255,0,0,0,0,100,134,E,A,Z,Z,Z,52.0,33.0,33.0,33.0,33.0,42.9,14.0,7.0,Halberds,keen
Nightrider Glaive (keen),289,0,0,0,0,100,140,E,A,Z,Z,Z,66.0,42.0,42.0,42.0,42.0,55.0,18.0,12.0,Halberds,keen
Pest's Glaive (keen),270,0,0,0,0,100,114,E,A,Z,Z,Z,52.0,33.0,33.0,33.0,33.0,42.9,14.0,7.0,Halberds,keen
Vulgar Militia Saw (keen),282,0,0,0,0,100,128,E,B,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,keen
Vulgar Militia Shotel (keen),255,0,0,0,0,100,140,E,A,Z,Z,Z,55.0,35.0,35.0,35.0,35.0,46.2,15.0,8.0,Halberds,keen
Chainlink Flail (heavy),235,0,0,0,0,100,134,S,Z,Z,Z,Z,43.0,28.0,28.0,28.0,28.0,26.4,18.0,8.0,Flails,heavy
Flail (heavy),251,0,0,0,0,100,112,B,Z,Z,Z,Z,36.0,24.0,24.0,24.0,24.0,22.0,15.0,5.0,Flails,heavy
Nightrider Flail (heavy),258,0,0,0,0,100,116,B,Z,Z,Z,Z,37.0,25.0,25.0,25.0,25.0,23.1,15.0,6.0,Flails,heavy
Rusted Anchor (quality),291,0,0,0,0,100,164,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,quality
Longhaft Axe (quality),289,0,0,0,0,100,156,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,quality
Greataxe (quality),299,0,0,0,0,100,168,B,B,Z,Z,Z,69.0,37.0,37.0,37.0,37.0,49.5,21.0,13.0,Greataxes,quality
Great Omenkiller Cleaver (quality),280,0,0,0,0,100,150,B,B,Z,Z,Z,63.0,33.0,33.0,33.0,45.0,46.2,20.0,11.0,Greataxes,quality
Gargoyle's Great Axe (quality),243,0,0,0,0,100,150,B,B,Z,Z,Z,58.0,31.0,31.0,31.0,31.0,40.7,18.0,8.5,Greataxes,quality
Executioner's Greataxe (quality),297,0,0,0,0,115,172,B,B,Z,Z,Z,74.0,40.0,40.0,40.0,40.0,52.8,23.0,15.0,Greataxes,quality
Crescent Moon Axe (quality),289,0,0,0,0,100,156,B,B,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,quality
Butchering Knife (quality),264,0,0,0,0,100,150,B,B,Z,Z,Z,58.0,31.0,31.0,31.0,31.0,40.7,18.0,8.5,Greataxes,quality
Lance (lightning),205,0,0,205,0,100,122,E,C,Z,Z,Z,54.15,34.2,41.4,45.0,34.2,44.0,19.95,9.0,GreatSpears,lightning
Lance (keen),277,0,0,0,0,100,122,E,B,Z,Z,Z,57.0,36.0,36.0,36.0,36.0,48.4,21.0,9.0,GreatSpears,keen
Rusted Anchor (fire),241,0,241,0,0,100,164,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,12.5,Greataxes,fire
Longhaft Axe (fire),239,0,239,0,0,100,156,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,12.5,Greataxes,fire
Greataxe (fire),248,0,248,0,0,100,168,C,E,Z,Z,Z,65.55,35.15,46.25,42.55,35.15,45.0,19.95,13.0,Greataxes,fire
Great Omenkiller Cleaver (fire),232,0,232,0,0,100,150,C,E,Z,Z,Z,59.85,31.35,41.25,37.95,42.75,42.0,19.0,11.0,Greataxes,fire
Gargoyle's Great Axe (fire),202,0,202,0,0,100,150,B,E,Z,Z,Z,55.1,29.45,38.75,35.65,29.45,37.0,17.1,8.5,Greataxes,fire
Executioner's Greataxe (fire),246,0,246,0,0,115,172,C,E,Z,Z,Z,70.3,38.0,50.0,46.0,38.0,48.0,21.85,15.0,Greataxes,fire
Crescent Moon Axe (fire),239,0,239,0,0,100,156,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,12.5,Greataxes,fire
Butchering Knife (fire),219,0,219,0,0,100,150,C,E,Z,Z,Z,55.1,29.45,38.75,35.65,29.45,37.0,17.1,8.5,Greataxes,fire
Battle Hammer (fire),215,0,215,0,0,100,194,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,10.0,GreatHammers,fire
Brick Hammer (fire),200,0,200,0,0,100,218,B,E,Z,Z,Z,70.3,38.0,50.0,46.0,38.0,48.0,21.85,12.5,GreatHammers,fire
Celebrant's Skull (fire),226,0,226,0,0,100,182,C,E,Z,Z,Z,59.85,32.3,42.5,39.1,32.3,40.0,18.05,8.5,GreatHammers,fire
Curved Great Club (fire),238,0,238,0,0,100,194,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,10.0,GreatHammers,fire
Great Mace (fire),219,0,219,0,0,100,200,C,E,Z,Z,Z,67.45,36.1,47.5,43.7,36.1,46.0,20.9,11.5,GreatHammers,fire
Great Stars (fire),221,0,221,0,0,100,182,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,10.0,GreatHammers,fire
Greathorn Hammer (fire),219,0,219,0,0,100,172,C,E,Z,Z,Z,61.75,33.25,43.75,40.25,33.25,42.0,19.0,10.0,GreatHammers,fire
Large Club (fire),215,0,215,0,0,100,154,C,E,Z,Z,Z,57.0,30.4,40.0,36.8,30.4,38.0,17.1,8.5,GreatHammers,fire
Pickaxe (fire),236,0,236,0,0,100,190,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,10.0,GreatHammers,fire
Rotten Battle Hammer (fire),207,0,207,0,0,100,194,C,E,Z,Z,Z,64.6,34.2,45.0,41.4,34.2,44.0,19.95,10.0,GreatHammers,fire
Lordsworn's Greatsword (lightning),227,0,0,227,0,110,126,E,C,Z,Z,Z,61.75,33.25,40.25,43.75,33.25,42.0,19.0,9.0,Greatswords,lightning
Knight's Greatsword (lightning),236,0,0,236,0,100,126,E,C,Z,Z,Z,64.6,34.2,41.4,45.0,34.2,44.0,19.95,10.0,Greatswords,lightning
Iron Greatsword (lightning),250,0,0,250,0,100,140,E,C,Z,Z,Z,69.35,37.05,44.85,48.75,37.05,47.0,20.9,12.0,Greatswords,lightning
Gargoyle's Greatsword (lightning),224,0,0,224,0,100,138,E,C,Z,Z,Z,67.45,36.1,43.7,47.5,36.1,46.0,20.9,11.5,Greatswords,lightning
Forked Greatsword (lightning),208,0,0,208,0,100,112,E,C,Z,Z,Z,57.95,31.35,37.95,41.25,31.35,39.0,18.05,9.0,Greatswords,lightning
Flamberge (lightning),217,0,0,217,0,100,118,E,C,Z,Z,Z,61.75,33.25,40.25,43.75,33.25,42.0,19.0,10.0,Greatswords,lightning
Claymore (lightning),231,0,0,231,0,100,126,E,C,Z,Z,Z,61.75,33.25,40.25,43.75,33.25,42.0,19.0,9.0,Greatswords,lightning
Bastard Sword (lightning),231,0,0,231,0,100,126,E,C,Z,Z,Z,61.75,33.25,40.25,43.75,33.25,42.0,19.0,9.0,Greatswords,lightning
